provinces,annees,Total,Average,Count
Bas-Uele,2020,1038146,22088.21,47
Bas-Uele,2021,1082808,28494.95,38
Bas-Uele,2022,398842,9496.24,42
Bas-Uele,2023,337320,1183.58,285
Bas-Uele,2024,416547,1070.81,389
Haut-Katanga,2020,223813781,66790.15,3351
Haut-Katanga,2021,82950447,33843.51,2451
Haut-Katanga,2022,11717269,4686.91,2500
Haut-Katanga,2023,13941634,5718.47,2438
Haut-Katanga,2024,5417787,3036.88,1784
Haut-Lomami,2020,1544698,4086.5,378
Haut-Lomami,2021,2590395,5180.79,500
Haut-Lomami,2022,1422585,3379.06,421
Haut-Lomami,2023,1084394,1975.22,549
Haut-Lomami,2024,1201933,2828.08,425
Haut-Uele,2020,39789649,69929.08,569
Haut-Uele,2021,1082746,4010.17,270
Haut-Uele,2022,1329757,2664.84,499
Haut-Uele,2023,1010792,1519.99,665
Haut-Uele,2024,807162,1124.18,718
Ituri,2020,22418106,36393.03,616
Ituri,2021,2786334,5928.37,470
Ituri,2022,262230010,456846.71,574
Ituri,2023,37759213,95351.55,396
Ituri,2024,2349722,3741.6,628
Kasaï,2020,80904,254.42,318
Kasaï,2021,308058,273.1,1128
Kasaï,2022,32833,631.4,52
Kasaï,2023,734924,354.18,2075
Kasaï,2024,1030283,686.86,1500
Kasaï-Central,2020,2754878,30273.38,91
Kasaï-Central,2021,2069792,18816.29,110
Kasaï-Central,2023,2033209,3986.68,510
Kasaï-Central,2024,2091646,2601.55,804
Kasaï-Oriental,2020,1707863,4076.05,419
Kasaï-Oriental,2021,1785254,3306.03,540
Kasaï-Oriental,2022,1731669,2701.51,641
Kasaï-Oriental,2023,3508016,7900.94,444
Kasaï-Oriental,2024,2198536,4148.18,530
Kinshasa,2020,4394359,3640.73,1207
Kinshasa,2021,41413040,30790.36,1345
Kinshasa,2022,4733945,3455.43,1370
Kinshasa,2023,4455834,6533.48,682
Kongo-Central,2020,141593851,287208.62,493
Kongo-Central,2021,132520648,18487.81,7168
Kongo-Central,2022,1932471,4525.69,427
Kongo-Central,2023,1617187,7774.94,208
Kongo-Central,2024,2728964,6050.92,451
Kwango,2020,1071178,2385.7,449
Kwango,2021,1877026,4888.09,384
Kwango,2022,1372502,2350.17,584
Kwango,2023,1369927,1542.71,888
Kwango,2024,908414,1254.72,724
Kwilu,2020,8783680,15491.5,567
Kwilu,2021,12673719052,23469850.1,540
Kwilu,2022,25901895,47789.47,542
Kwilu,2023,676135,1495.87,452
Kwilu,2024,4184903,7553.98,554
Lomami,2020,897777,1750.05,513
Lomami,2021,2640795,5666.94,466
Lomami,2022,1032696,4917.6,210
Lomami,2023,1909253,1385.52,1378
Lomami,2024,3525451,2144.43,1644
Lualaba,2020,1087810,2132.96,510
Lualaba,2021,17489098,31568.77,554
Lualaba,2022,5550019,1425.64,3893
Lualaba,2023,1397745,15883.47,88
Lualaba,2024,2013822,4377.87,460
Mai-Ndombe,2020,802105,1630.29,492
Mai-Ndombe,2021,585334,1064.24,550
Mai-Ndombe,2022,517488,1482.77,349
Mai-Ndombe,2023,528439,759.25,696
Mai-Ndombe,2024,498105,745.67,668
Maniema,2020,2151173,6076.76,354
Maniema,2021,496026,3006.22,165
Maniema,2022,994852,4605.8,216
Maniema,2023,564512,1660.33,340
Maniema,2024,768470,1821.02,422
Mongala,2020,588933,4461.61,132
Mongala,2021,7210768,52633.34,137
Mongala,2022,4211387,56910.64,74
Mongala,2023,1257630,4540.18,277
Mongala,2024,111847,3994.54,28
Nord-Kivu,2020,65740072,91052.73,722
Nord-Kivu,2021,9252406,17294.22,535
Nord-Kivu,2022,6680598,24293.08,275
Nord-Kivu,2023,5895789,21755.68,271
Nord-Kivu,2024,1272369,7854.13,162
Nord-Ubangi,2020,647615,2970.71,218
Nord-Ubangi,2021,729829,2499.41,292
Nord-Ubangi,2022,1055797,2742.33,385
Nord-Ubangi,2023,985858,2235.51,441
Nord-Ubangi,2024,1190336,1809.02,658
Sankuru,2020,619204,4726.75,131
Sankuru,2021,304401,3238.31,94
Sankuru,2022,408593,3217.27,127
Sankuru,2023,320612,1113.24,288
Sankuru,2024,693746,2070.88,335
Sud Kivu,2020,5029263,12668.17,397
Sud Kivu,2021,3184617,8630.4,369
Sud Kivu,2022,35652072,54513.87,654
Sud Kivu,2023,3592907,7612.09,472
Sud Kivu,2024,5415479,11329.45,478
Sud-Ubangi,2020,654137,3870.63,169
Sud-Ubangi,2021,746967,3205.87,233
Sud-Ubangi,2022,9008258,58117.79,155
Sud-Ubangi,2023,88920352,252614.64,352
Sud-Ubangi,2024,433276,923.83,469
Tanganyika,2020,2406428,24064.28,100
Tanganyika,2021,1894456,17222.33,110
Tanganyika,2022,3209250,8083.75,397
Tanganyika,2023,3765352,51580.16,73
Tanganyika,2024,277528,2952.43,94
Tshopo,2020,232032,731.96,317
Tshopo,2021,25625,394.23,65
Tshopo,2023,1014325,897.63,1130
Tshopo,2024,366277,359.45,1019
Tshuapa,2020,379158,287.02,1321
Tshuapa,2021,409278,253.74,1613
Tshuapa,2022,63269,184.46,343
Tshuapa,2024,131551,148.98,883
Équateur,2020,401022,374.44,1071
Équateur,2021,107861,178.87,603
Équateur,2022,38915,480.43,81
Équateur,2023,662685,470.32,1409
Équateur,2024,662043,788.15,840
