provinces,annees,trimestres,indicateurs,cibles,sexes,tranches_ages,Valeur,period
Nord-Kivu,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,277,2020-T2
Nord-Kivu,2020,T2,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,442,2020-T2
Nord-Kivu,2020,T3,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,5059,2020-T3
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Féminin,25 à 49 ans,612,2020-T4
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Féminin,>= 50 ans,54,2020-T4
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Féminin,20 à 24 ans,1334,2020-T4
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Féminin,15 à 19 ans,482,2020-T4
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Masculin,>= 50 ans,139,2020-T4
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,204,2020-T4
Nord-Kivu,2020,T3,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,1001,2020-T3
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Masculin,20 à 24 ans,766,2020-T4
Nord-Kivu,2020,T4,Nombre de PVVIH sous TAR,Population Générale,Masculin,15 à 19 ans,134,2020-T4
Mai-Ndombe,2020,T2,Nombre de clients testés,HSH,Masculin,25 à 49 ans,5,2020-T2
Ituri,2020,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,10 à 14 ans,349,2020-T1
Ituri,2020,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,10 à 14 ans,526,2020-T1
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Féminin,10 à 14 ans,1727,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Féminin,>= 50 ans,822,2020-T2
Mai-Ndombe,2020,T1,Nombre de clients testés,Population Générale,Masculin,15 à 19 ans,54,2020-T1
Mai-Ndombe,2020,T1,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,294,2020-T1
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Masculin,10 à 14 ans,1510,2020-T2
Mai-Ndombe,2020,T2,Nombre de clients testés,Population Générale,Féminin,15 à 19 ans,2031,2020-T2
Mai-Ndombe,2020,T1,Nombre de clients testés,Population Générale,Féminin,15 à 19 ans,94,2020-T1
